iter	Passed	Remaining
0	1	124
1	2	118
2	3	114
3	4	107
4	5	108
5	7	110
6	8	110
7	9	108
8	10	110
9	11	107
10	12	103
11	13	99
12	14	96
13	15	94
14	16	92
15	17	90
16	17	87
17	18	85
18	19	83
19	20	81
20	21	79
21	21	77
22	22	75
23	23	73
24	23	71
25	24	70
26	25	68
27	26	66
28	26	65
29	27	63
30	28	62
31	28	61
32	29	59
33	30	58
34	30	56
35	31	55
36	31	54
37	32	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	33
56	43	32
57	44	32
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	56	16
78	57	15
79	58	14
80	58	13
81	59	13
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
