iter	Passed	Remaining
0	51	51405
1	55	27594
2	57	19252
3	59	14899
4	61	12293
5	63	10590
6	65	9266
7	66	8294
8	68	7501
9	69	6844
10	70	6301
11	71	5852
12	72	5471
13	72	5138
14	73	4853
15	74	4607
16	75	4382
17	76	4183
18	77	4005
19	78	3836
20	78	3682
21	79	3545
22	80	3421
23	81	3305
24	81	3196
25	82	3096
26	83	3006
27	84	2922
28	84	2841
29	85	2767
30	86	2696
31	86	2630
32	87	2566
33	88	2508
34	88	2451
35	89	2398
36	90	2346
37	90	2298
38	91	2253
39	92	2209
40	92	2168
41	93	2138
42	94	2101
43	95	2065
44	95	2032
45	96	1999
46	97	1968
47	97	1937
48	98	1907
49	98	1879
50	99	1851
51	100	1827
52	100	1802
53	101	1777
54	102	1754
55	102	1731
56	103	1709
57	103	1687
58	104	1668
59	105	1648
60	105	1629
61	106	1612
62	107	1593
63	107	1576
64	108	1560
65	109	1545
66	109	1530
67	110	1515
68	111	1501
69	111	1486
70	112	1472
71	113	1458
72	113	1445
73	114	1434
74	115	1421
75	115	1409
76	116	1397
77	117	1385
78	117	1374
79	118	1362
80	119	1351
81	119	1341
82	120	1327
83	120	1316
84	121	1309
85	122	1300
86	123	1291
87	123	1281
88	124	1272
89	125	1264
90	125	1256
91	126	1247
92	127	1239
93	127	1231
94	128	1222
95	128	1214
96	129	1207
97	130	1199
98	131	1195
99	132	1188
100	132	1180
101	133	1173
102	133	1166
103	134	1159
104	135	1153
105	136	1147
106	136	1142
107	137	1136
108	138	1130
109	138	1124
110	139	1118
111	140	1112
112	140	1106
113	141	1100
114	142	1094
115	142	1088
116	143	1085
117	144	1080
118	145	1074
119	145	1068
120	146	1063
121	146	1057
122	147	1051
123	148	1046
124	148	1041
125	149	1036
126	149	1030
127	150	1025
128	151	1020
129	151	1015
130	152	1010
131	153	1006
132	153	1001
133	154	996
134	154	992
135	155	987
136	156	983
137	156	979
138	157	974
139	157	970
140	158	966
141	159	961
142	159	957
143	161	959
144	162	956
